# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.85,0.4548230373056507,19.93547308286451,0,3.0,-0.5242551874216554,180.0,0.0,0.07792767258347612
 0.09118739750576284,1.8617253124860726,0.45907575368738646,19.93547308286451,0.2735621925172886,3.000000000000001,-0.5242551874216554,-179.99289397834343,-9.873667664377107,0.5581308396272169
 0.12938084845481232,1.873632598598583,0.4633059999917871,19.558363641237907,0.38814254536443704,3.0000000000000004,-0.5010750349746601,-179.97157703549698,-12.338732349667222,1.200493054670238
 0.15897243809855574,1.8857204026198844,0.46751381988186436,19.193240936822576,0.4769173142956673,3.0,-0.4792421534794733,-179.936052537653,-14.044377495139708,1.9746374387058447
 0.18415500687636083,1.8979872688323307,0.4716992570206297,18.83956743460976,0.5524650206290825,2.999999999999999,-0.4586630367350863,-179.88632609454157,-15.306597858145023,2.8547261704831373
 0.20654613379355125,1.9104317415182746,0.47586235507109476,18.496835459297643,0.6196384013806538,3.0000000000000027,-0.4392515375145924,-179.82240555854446,-16.26702891751583,3.823782123470535
 0.2269721237080396,1.9230523649600704,0.48000315769627105,18.164565290689772,0.6809163711241188,2.9999999999999973,-0.42092823743692837,-179.74430102345525,-17.00614208694519,4.869524358955343
 0.24592185960986881,1.9358476834400706,0.4841217085591702,17.84230338943318,0.7377655788296065,2.9999999999999987,-0.40361987316858483,-179.65202482288552,-17.57562394009752,5.9825244203411225
 0.2637125591691778,1.9488162412406296,0.4882180513228038,17.529620744347504,0.7911376775075334,2.9999999999999982,-0.3872588139037692,-179.545591528317,-18.011286321334495,7.155248631962017
 0.28056362720581596,1.9619565826441001,0.49229222965018343,17.226111333119327,0.8416908816174478,2.9999999999999933,-0.37178258565936284,-179.42501794680075,-18.339247753978054,8.381502538740529
 0.296634114314203,1.975267251932836,0.4963442872043207,16.931390688511506,0.8899023429426088,2.9999999999999964,-0.35713343807779047,-179.290323118303,-18.579270288348603,9.656082154129598
 0.3120435529694807,1.9887467933891907,0.5003742676482271,16.645094562743374,0.9361306589084419,2.9999999999999964,-0.3432579500823183,-179.14152831269863,-18.746722137746595,10.974541704435573
 0.32688438101249245,2.0023937512955174,0.5043822146449143,16.366877683126955,0.9806531430374771,2.9999999999999964,-0.3301066705255287,-178.97865702641224,-18.853809229624186,12.333031697420047
 0.3412297627519318,2.01620666993417,0.5083681718573938,16.096412592485432,1.023689288255795,3.0,-0.31763379093974664,-178.80173497870814,-18.91038814076499,13.728181815712666
 0.35513873290128883,2.030184093587501,0.5123321829486772,15.833388568322775,1.0654161987038664,3.000000000000012,-0.3057968472535673,-178.61079010762845,-18.924524977037372,15.157013663861795
 0.36865970389144526,2.044324566537865,0.5162742915817763,15.577510615105764,1.1059791116743356,2.999999999999996,-0.29455644788322605,-178.40585256558197,-18.9028926014789,16.61687413158767
 0.3818329306527674,2.058626633067615,0.5201945414197022,15.328498524421564,1.145498791958302,2.9999999999999916,-0.28387602563647474,-178.1869547145822,-18.85106089192487,18.105383432615273
 0.39469228788821786,2.0730888374591045,0.524092976125467,15.086085998145073,1.1840768636646533,2.9999999999999956,-0.27372161143145474,-177.9541311211374,-18.773713836311714,19.62039386402754
 0.4072665803338855,2.0877097239946867,0.5279696393620821,14.850019830076013,1.2217997410016561,2.999999999999991,-0.2640616277137039,-177.70741855079194,-18.674815153984763,21.159956572641217
 0.419580527556639,2.1024878369567155,0.5318245747925588,14.620059141875167,1.2587415826699166,3.000000000000009,-0.2548666996147684,-177.44685596232068,-18.55773681589044,22.722294418429268
 0.4316555168025038,2.1174217206275436,0.5356578260799091,14.395974669395699,1.2949665504075112,3.0000000000000093,-0.2461094826143821,-177.17248450157678,-18.42536025073084,24.305779559635074
 0.44351018724725044,2.1325099192895256,0.5394694368871443,14.177548095797551,1.330530561741751,3.0,-0.23776450473726535,-176.88434749499464,-18.280157064552192,25.908914749667595
 0.4551608895311342,2.1477509772250136,0.5432594508772761,13.96457142813582,1.3654826685934025,3.0000000000000093,-0.2298080222196282,-176.58249044274774,-18.124254149402294,27.53031759033156
 0.4666220515808864,2.1631434387163617,0.5470279117133161,13.756846414298625,1.3998661547426592,3.0000000000000147,-0.22221788743143542,-176.2669610115638,-17.95948671567548,29.168707168108984
 0.4779064730147517,2.178685848045924,0.5507748630582758,13.554183997463038,1.4337194190442553,3.0000000000000098,-0.21497342787528764,-175.93780902719786,-17.787441868844525,30.822892631596595
 0.48902556442289336,2.194376749496053,0.5545003485751668,13.35640380540635,1.4670766932686803,3.000000000000005,-0.20805533526790662,-175.5950864665638,-17.609494693944036,32.49176336522936
 0.4999895436022447,2.210214687349102,0.5582044119270008,13.16333367222305,1.4999686308067341,2.99999999999999,-0.20144556372599098,-175.23884744952701,-17.426838342486136,34.1742804873775
 0.5108075978201164,2.2261982058874255,0.5618870967767893,12.974809190187948,1.5324227934603494,3.0,-0.1951272363103208,-174.8691482303578,-17.240509275682996,35.869469455416386
 0.5214880190063099,2.242325849393376,0.5655484467875437,12.79067328965918,1.5644640570189299,3.0,-0.18908455953476394,-174.48604718884866,-17.051408560820907,37.576413603164326
 0.5320383171784646,2.2585961621493076,0.5691885056222759,12.610775845087286,1.596114951535394,3.0000000000000107,-0.18330274425033202,-174.08960482109507,-16.86031993073434,39.29424846829459
